Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,C.J. Abrams*,21,SDP,NL,28,94,83,12,16,3,0,1,6,1,1,4,18,.193,.261,.265,.526,55,22,3,4,2,1,0,6/49HD,abramcj01
2,Albert Abreu,26,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,abreual01
3,Albert Abreu,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,abreual01
4,José Abreu,35,CHW,AL,71,313,271,41,74,19,0,9,35,0,0,38,48,.273,.367,.443,.810,131,120,7,3,0,1,0,*3D,abreujo02
5,Ronald Acuna Jr.,24,ATL,NL,43,196,167,28,47,8,0,7,18,13,4,20,51,.281,.372,.455,.828,127,76,1,6,0,3,1,9D/H,acunaro01
6,Willy Adames,26,MIL,NL,54,228,207,36,45,10,0,15,39,1,1,20,62,.217,.289,.483,.773,113,100,8,1,0,0,0,*6/DH,adamewi01
7,Riley Adams,26,WSN,NL,27,88,78,8,15,1,0,3,5,0,1,9,26,.192,.284,.321,.605,76,25,1,1,0,0,0,2/H3D,adamsri03
8,Jo Adell,23,LAA,AL,25,87,84,5,21,5,0,3,10,1,1,3,30,.250,.276,.417,.693,95,35,4,0,0,0,0,7/9H,adelljo01
9,Ehire Adrianza#,32,WSN,NL,12,34,32,1,5,1,0,0,1,0,0,2,9,.156,.206,.188,.393,16,6,1,0,0,0,0,/57H41,adriaeh01
10,Jesus Aguilar,32,MIA,NL,65,271,246,24,62,12,0,9,31,0,0,18,64,.252,.301,.411,.712,100,101,7,1,0,4,0,3D/5H,aguilje01
11,Nick Ahmed,32,ARI,NL,17,54,52,7,12,2,0,3,7,0,1,2,15,.231,.259,.442,.702,96,23,2,0,0,0,0,6/HD,ahmedni01
12,Hanser Alberto,29,LAD,NL,36,74,73,8,17,3,0,2,5,0,0,1,13,.233,.243,.356,.599,64,26,3,0,0,0,0,4H/5D19,alberha01
13,Ozzie Albies#,25,ATL,NL,62,263,242,34,59,15,0,8,33,3,5,15,46,.244,.289,.405,.694,89,98,0,2,0,4,0,*4/H,albieoz01
14,Sergio Alcantara#,25,TOT,NL,44,94,87,9,14,2,1,1,10,0,2,3,24,.161,.185,.241,.426,22,21,3,0,2,2,0,56/4HD,alcanse01
15,Sergio Alcantara#,25,ARI,NL,23,57,53,6,10,2,1,1,7,0,0,1,13,.189,.200,.321,.521,46,17,3,0,2,1,0,5/6H4,alcanse01
16,Sergio Alcantara#,25,SDP,NL,21,37,34,3,4,0,0,0,3,0,2,2,11,.118,.162,.118,.280,-16,4,0,0,0,1,0,/645HD,alcanse01
17,Jorge Alfaro,29,SDP,NL,42,155,145,18,41,11,0,6,24,1,0,7,51,.283,.316,.483,.799,130,70,3,1,0,2,0,2/DH,alfarjo01
18,Anthony Alford,27,PIT,NL,2,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,43,1,0,0,0,0,0,/879,alforan01
19,Austin Allen*,28,OAK,AL,5,16,14,1,1,0,0,0,0,0,0,1,9,.071,.188,.071,.259,-19,1,1,1,0,0,0,/2D,allenau01
20,Nick Allen,23,OAK,AL,17,52,45,6,10,4,0,1,5,1,1,6,9,.222,.327,.378,.705,108,17,1,1,0,0,0,4/6,allenni02
21,Albert Almora,28,CIN,NL,39,140,135,17,36,5,1,5,24,2,2,3,25,.267,.281,.430,.710,87,58,6,0,1,1,0,987/DH,almoral01
22,Pete Alonso,27,NYM,NL,74,317,273,45,77,11,0,22,69,2,1,30,64,.282,.360,.564,.924,160,154,6,7,0,7,6,*3D,alonspe01
23,Jose Altuve,32,HOU,AL,58,254,224,39,61,13,0,15,26,5,1,26,43,.272,.358,.531,.890,153,119,7,4,0,0,0,*4,altuvjo01
24,Jose Alvarado*,27,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,alvarjo03
25,Eddy Alvarez*,32,LAD,NL,13,23,22,1,3,0,0,0,1,1,0,0,8,.136,.136,.136,.273,-24,3,1,0,1,0,0,/95HD76,alvared01
26,Yordan Álvarez*,25,HOU,AL,66,275,234,49,75,8,2,23,56,0,1,36,45,.321,.415,.667,1.081,206,156,7,3,0,2,3,D7/H,alvaryo01
27,Brian Anderson,29,MIA,NL,34,127,109,21,29,9,0,2,6,1,0,16,37,.266,.370,.404,.774,120,44,0,2,0,0,1,5/79H,anderbr06
28,Tim Anderson,29,CHW,AL,47,207,195,29,67,9,0,5,19,10,0,8,24,.344,.382,.467,.848,142,91,6,4,0,0,1,6,anderti01
29,Elvis Andrus,33,OAK,AL,70,254,234,26,53,18,0,3,15,4,2,19,37,.226,.287,.342,.629,85,80,7,1,0,0,0,*6/HD,andruel01
30,Miguel Andujar,27,NYY,AL,12,43,41,4,11,2,0,0,3,3,0,1,7,.268,.279,.317,.596,73,13,0,0,0,1,0,7/DH,andujmi01
31,Aristides Aquino,28,CIN,NL,31,90,87,10,15,4,0,3,7,2,1,3,41,.172,.200,.322,.522,37,28,0,0,0,0,0,9/7H8,aquinar01
32,Jonathan Aranda*,24,TBR,AL,2,3,3,0,2,0,0,0,1,0,0,0,0,.667,.667,.667,1.333,298,2,0,0,0,0,0,/4DH,arandjo01
33,Jonathan Arauz#,23,TOT,AL,9,24,22,3,3,0,0,1,3,0,0,0,6,.136,.130,.273,.403,10,6,0,0,1,1,0,/465H,arauzjo01
34,Jonathan Arauz#,23,BOS,AL,6,12,10,1,0,0,0,0,1,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,1,0,/46H,arauzjo01
35,Jonathan Arauz#,23,BAL,AL,3,12,12,2,3,0,0,1,2,0,0,0,3,.250,.250,.500,.750,109,6,0,0,0,0,0,/54,arauzjo01
36,Orlando Arcia,27,ATL,NL,29,106,94,9,27,5,0,3,13,0,0,9,24,.287,.349,.436,.785,115,41,3,1,0,2,0,4/D75H,arciaor01
37,Nolan Arenado,31,STL,NL,73,307,277,35,78,19,0,14,49,0,2,27,41,.282,.345,.502,.847,142,139,9,1,0,2,1,*5/DH,arenano01
38,Gabriel Arias,22,CLE,AL,2,8,8,2,1,0,0,0,1,0,0,0,3,.125,.125,.125,.250,-27,1,0,0,0,0,0,/45,ariasga01
39,Randy Arozarena,27,TBR,AL,71,296,275,32,71,16,2,7,33,15,6,14,73,.258,.307,.407,.715,110,112,8,6,0,1,2,*7D/H,arozara01
40,Luis Arraez*,25,MIN,AL,67,277,241,42,83,9,1,4,27,2,1,33,22,.344,.426,.440,.866,152,106,2,2,0,1,1,34/DH5,arraelu01
41,Christian Arroyo,27,BOS,AL,37,107,98,12,20,3,0,4,13,3,0,4,17,.204,.255,.357,.612,68,35,1,3,1,1,0,9/64HD35,arroych01
42,Willians Astudillo,30,MIA,NL,17,38,37,5,10,0,0,1,4,1,0,1,2,.270,.289,.351,.641,81,13,2,0,0,0,0,/54H3D1,astudwi01
43,Jose Azocar,26,SDP,NL,58,113,104,11,26,4,3,0,7,3,5,8,28,.250,.301,.346,.647,89,36,2,0,0,1,0,*9H78/D,azocajo01
44,Akil Baddoo*,23,DET,AL,17,55,50,5,7,1,0,1,2,1,1,5,15,.140,.218,.220,.438,28,11,1,0,0,0,0,8/7H,baddoak01
45,Harrison Bader,28,STL,NL,72,264,246,35,63,7,3,5,21,15,2,13,47,.256,.303,.370,.673,94,91,4,4,0,1,0,*8/H,baderha01
46,Javier Baez,29,DET,AL,61,249,235,20,51,13,1,7,25,3,1,11,59,.217,.257,.370,.627,80,87,7,2,0,1,0,*6/DH,baezja01
47,Rylan Bannon,26,BAL,AL,4,15,14,0,2,0,0,0,0,0,0,0,5,.143,.200,.143,.343,1,2,0,1,0,0,0,/5D,bannory01
48,Daniel Bard,37,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bardda01
49,Joe Barlow,26,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlojo01
50,Scott Barlow,29,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlosc01
51,Austin Barnes,32,LAD,NL,28,92,75,14,14,2,0,4,11,1,0,15,18,.187,.326,.373,.699,94,28,3,1,0,1,0,2/DH4,barneau01
52,Tucker Barnhart*,31,DET,AL,49,155,145,6,31,4,0,0,7,0,0,10,46,.214,.265,.241,.506,49,35,2,0,0,0,0,2/1,barnhtu01
53,Luis Barrera*,26,OAK,AL,32,85,77,3,18,5,0,1,7,3,0,6,17,.234,.294,.338,.632,86,26,2,1,0,1,0,79/H8,barrelu01
54,Joey Bart,25,SFG,NL,36,108,90,12,14,1,0,4,7,1,1,15,49,.156,.296,.300,.596,69,27,2,3,0,0,0,2/HD,bartjo01
55,Anthony Bass,34,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/DH,bassan01
56,Félix Bautista,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bautife01
57,Matt Beaty*,29,SDP,NL,17,40,37,6,4,1,1,0,1,0,0,2,6,.108,.175,.189,.364,7,7,3,1,0,0,0,/9H3D7,beatyma01
58,David Bednar*,27,PIT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bednada01
59,Seth Beer*,25,ARI,NL,27,93,81,4,17,3,0,1,9,0,0,8,24,.210,.301,.284,.585,69,23,3,3,0,1,1,D/H3,beerse01
60,Josh Bell#,29,WSN,NL,76,318,273,40,85,13,2,11,46,0,1,35,43,.311,.392,.495,.887,157,135,12,4,0,4,3,*3,belljo02
61,Andrew Bellatti,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bellaan01
62,Cody Bellinger*,26,LAD,NL,67,273,251,32,53,13,2,9,28,9,1,20,82,.211,.271,.386,.658,80,97,4,1,0,1,0,*8/H,bellico01
63,Brandon Belt*,34,SFG,NL,37,153,127,17,28,3,1,5,12,1,0,22,44,.220,.346,.378,.724,105,48,7,3,0,1,1,3/DH,beltbr01
64,Anthony Bemboom*,32,BAL,AL,22,59,52,4,6,2,0,1,1,0,0,6,17,.115,.207,.212,.418,21,11,1,0,1,0,0,2/H,bemboan01
65,Andrew Benintendi*,27,KCR,AL,72,304,271,28,82,11,2,3,27,1,0,29,42,.303,.368,.391,.760,116,106,6,1,0,3,0,*7/H,beninan01
66,Jon Berti,32,MIA,NL,45,171,149,27,43,8,2,2,14,22,2,20,40,.289,.380,.409,.790,124,61,3,2,0,0,0,54/H678D,bertijo01
67,Christian Bethancourt,30,OAK,AL,51,166,156,22,38,11,0,4,18,4,1,8,38,.244,.285,.391,.676,97,61,3,1,1,0,0,32H/D1,bethach01
68,Mookie Betts,29,LAD,NL,60,275,245,53,67,13,0,17,40,6,1,27,47,.273,.349,.535,.884,141,131,3,2,0,1,0,*9/H,bettsmo01
69,Bo Bichette,24,TOR,AL,73,329,309,42,79,16,0,12,41,5,4,20,82,.256,.301,.424,.725,104,131,4,0,0,0,0,*6,bichebo01
70,Phil Bickford,26,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bickfph01
71,Cavan Biggio*,27,TOR,AL,37,114,91,14,19,7,1,2,11,1,0,19,33,.209,.363,.374,.736,111,34,1,3,1,0,0,43/HD97,biggica01
72,Charlie Blackmon*,35,COL,NL,66,295,269,38,72,13,2,12,41,2,1,19,49,.268,.320,.465,.784,109,125,4,2,4,1,0,D9/H,blackch02
73,Dairon Blanco,29,KCR,AL,5,7,7,1,2,0,0,0,2,1,0,0,4,.286,.286,.286,.571,63,2,0,0,0,0,0,/8HD,blancda02
74,Xander Bogaerts,29,BOS,AL,72,305,268,46,88,21,0,6,31,3,0,29,63,.328,.400,.474,.874,142,127,5,5,0,3,2,*6/DH,bogaexa01
75,Alec Bohm,25,PHI,NL,72,292,270,35,71,12,1,4,26,1,2,15,62,.263,.298,.359,.657,86,97,9,1,0,6,0,*5/DH3,bohmal01
76,Ronald Bolanos,25,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,bolanro01
77,David Bote,29,CHC,NL,3,12,9,2,2,0,0,0,0,0,0,2,4,.222,.417,.222,.639,87,2,0,1,0,0,0,/4,boteda01
78,Sean Bouchard,26,COL,NL,3,9,7,1,0,0,0,0,0,0,0,2,2,.000,.222,.000,.222,-33,0,0,0,0,0,0,/7H,bouchse01
79,Bobby Bradley*,26,CLE,AL,8,17,17,1,2,0,0,0,0,0,0,0,9,.118,.118,.118,.235,-32,2,0,0,0,0,0,/3H,bradlbo01
80,Jackie Bradley Jr.*,32,BOS,AL,67,226,209,12,44,14,1,1,22,2,2,15,46,.211,.263,.301,.565,57,63,1,0,2,0,0,*98/H,bradlja02
81,Michael Brantley*,35,HOU,AL,64,277,243,28,70,14,1,5,26,1,1,31,30,.288,.370,.416,.785,127,101,1,1,1,1,2,D7,brantmi02
82,Rob Brantly*,32,NYY,AL,1,3,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,180,2,0,0,0,0,0,/2,brantro01
83,Alex Bregman,28,HOU,AL,71,301,249,39,60,15,0,9,36,0,0,44,40,.241,.362,.410,.772,123,102,7,5,0,3,0,*5/H,bregmal01
84,Jonah Bride,26,OAK,AL,12,44,41,1,9,1,0,0,1,0,0,3,3,.220,.273,.244,.517,54,10,0,0,0,0,0,/54D,bridejo01
85,Mike Brosseau,28,MIL,NL,32,82,71,8,20,1,0,4,10,1,0,10,21,.282,.378,.465,.843,137,33,0,1,0,0,0,5/H61,brossmi01
86,Seth Brown*,29,OAK,AL,70,242,222,23,51,14,2,10,36,7,0,18,65,.230,.289,.446,.735,113,99,3,1,0,1,1,379H/8D,brownse01
87,Justin Bruihl*,25,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bruihju01
88,Vidal Brujan#,24,TBR,AL,40,136,125,9,20,5,0,2,15,3,5,9,32,.160,.213,.248,.461,36,31,1,0,0,2,0,49/6H5D,brujavi01
89,Kris Bryant,30,COL,NL,19,82,71,11,18,4,0,0,4,0,0,8,15,.254,.329,.310,.639,74,22,1,1,0,2,0,7/D,bryankr01
90,Aaron Bummer*,28,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bummeaa01
91,Jake Burger,26,CHW,AL,48,182,167,20,42,9,1,8,26,0,0,10,56,.251,.304,.461,.765,115,77,7,3,1,1,1,5/DH4,burgeja01
92,Byron Buxton,28,MIN,AL,57,238,212,43,50,10,2,20,36,1,0,20,66,.236,.315,.585,.900,153,124,0,5,0,1,0,8D/H,buxtoby01
93,Miguel Cabrera,39,DET,AL,63,246,230,16,69,7,0,3,24,0,0,12,64,.300,.337,.370,.707,106,85,5,2,0,2,2,*D/H,cabremi01
94,Lorenzo Cain,36,MIL,NL,43,156,145,17,26,5,0,1,9,2,2,8,36,.179,.231,.234,.465,32,34,4,2,0,1,0,8/H,cainlo01
95,Kole Calhoun*,34,TEX,AL,67,249,229,26,56,12,1,8,32,2,2,15,61,.245,.297,.410,.708,103,94,3,3,0,2,0,*9/7HD8,calhoko01
96,Willie Calhoun*,27,TEX,AL,18,53,44,7,6,3,0,1,2,0,0,8,6,.136,.283,.273,.556,63,12,1,1,0,0,0,D/7H,calhowi01
97,Johan Camargo#,28,PHI,NL,47,153,139,8,32,3,0,3,15,0,0,13,33,.230,.296,.317,.613,75,44,1,0,1,0,0,65/H43D,camarjo01
98,Daz Cameron,25,DET,AL,18,61,56,5,13,3,1,1,8,2,0,4,18,.232,.295,.375,.670,94,21,1,1,0,0,0,9/8H,camerda01
99,Luis Campusano,23,SDP,NL,4,13,12,1,1,0,0,0,1,0,0,0,2,.083,.077,.083,.160,-53,1,1,0,0,1,0,/DH,campulu01
100,Jeimer Candelario#,28,DET,AL,57,215,201,20,39,7,2,5,18,0,0,12,52,.194,.247,.323,.570,64,65,7,2,0,0,0,*5/DH,candeje01
101,Mark Canha,33,NYM,NL,62,246,215,33,58,5,0,6,29,1,1,23,46,.270,.358,.377,.734,112,81,1,7,0,1,0,*7/98H3,canhama01
102,Robinson Canó*,39,TOT,NL,24,77,74,4,11,0,0,1,4,0,0,3,21,.149,.182,.189,.371,8,14,0,0,0,0,0,4/DH,canoro01
103,Robinson Canó*,39,NYM,NL,12,43,41,3,8,0,0,1,3,0,0,2,11,.195,.233,.268,.501,44,11,0,0,0,0,0,/4DH,canoro01
104,Robinson Canó*,39,SDP,NL,12,34,33,1,3,0,0,0,1,0,0,1,10,.091,.118,.091,.209,-38,3,0,0,0,0,0,/4HD,canoro01
105,Conner Capel*,25,STL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/D7H,capelco01
106,Vinny Capra,25,TOR,AL,8,7,5,2,1,0,0,0,0,0,0,2,1,.200,.429,.200,.629,88,1,0,0,0,0,0,/HD479,capravi01
107,Victor Caratini#,28,MIL,NL,34,119,97,13,24,3,0,5,13,0,0,17,22,.247,.378,.433,.811,129,42,4,4,0,1,0,2/H,caratvi01
108,Dylan Carlson#,23,STL,NL,58,225,202,25,52,16,2,4,20,4,0,18,37,.257,.324,.416,.740,113,84,3,3,0,2,0,*98/HD,carlsdy01
109,Matt Carpenter*,36,NYY,AL,17,45,35,11,9,1,0,6,13,0,0,8,11,.257,.409,.800,1.209,240,28,0,1,1,0,1,/DH35,carpema01
110,Curt Casali,33,SFG,NL,38,118,103,13,25,3,0,4,14,0,0,12,33,.243,.322,.388,.710,100,40,1,1,0,2,0,2/3D,casalcu01
111,Nick Castellanos,30,PHI,NL,74,311,286,30,71,17,0,7,37,3,1,21,73,.248,.302,.381,.683,93,109,8,2,0,2,0,*9/D7H,casteni01
112,Diego Castillo,28,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,castidi01
113,Diego Castillo,24,PIT,NL,61,199,185,20,36,6,0,8,19,1,1,9,51,.195,.236,.357,.593,66,66,6,2,0,3,0,64/9H315,castidi02
114,Harold Castro*,28,DET,AL,49,166,158,18,44,8,2,4,17,0,0,4,30,.278,.299,.430,.729,109,68,3,1,2,1,0,56/3H7148D,castrha01
115,Jason Castro*,35,HOU,AL,33,84,74,5,7,2,0,0,1,1,0,8,39,.095,.190,.122,.312,-7,9,1,1,0,1,0,2/H,castrja01
116,Rodolfo Castro#,23,PIT,NL,21,78,71,6,14,2,1,1,4,2,3,5,19,.197,.269,.296,.565,61,21,3,2,0,0,0,6/45,castrro01
117,Willi Castro#,25,DET,AL,51,172,161,19,42,9,2,2,14,2,3,5,31,.261,.291,.379,.670,93,61,4,3,0,3,0,78/H96D5,castrwi01
118,Gilberto Celestino,23,MIN,AL,49,139,125,13,36,5,1,0,6,0,1,10,29,.288,.350,.344,.694,103,43,6,2,2,0,0,87/H9,celesgi01
119,Yu Chang,26,TOT,MLB,22,59,52,5,7,1,0,1,2,0,1,4,25,.135,.237,.212,.449,30,11,1,3,0,0,0,4/3HD5,changyu01
120,Yu Chang,26,CLE,AL,4,10,10,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0,/345H,changyu01
121,Yu Chang,26,PIT,NL,18,49,42,5,7,1,0,1,2,0,1,4,18,.167,.286,.262,.548,58,11,1,3,0,0,0,4/3HD,changyu01
122,Matt Chapman,29,TOR,AL,69,272,243,39,54,14,0,11,35,0,0,25,67,.222,.301,.416,.717,102,101,3,3,0,1,0,*5/H,chapmma01
123,Michael Chavis,26,PIT,NL,64,218,201,22,49,7,2,8,25,1,1,12,62,.244,.289,.418,.707,98,84,1,2,0,3,1,34H/5D,chavimi01
124,Robinson Chirinos,38,BAL,AL,42,142,123,7,20,8,0,2,15,1,0,14,43,.163,.268,.276,.544,57,34,1,4,0,1,0,2/H,chiriro01
125,Jazz Chisholm Jr.*,24,MIA,NL,60,241,213,39,54,10,4,14,45,12,5,21,66,.254,.325,.535,.860,139,114,0,3,0,3,0,*4/H,chishja01
126,Ji-Man Choi*,31,TBR,AL,52,198,167,22,48,13,0,6,35,0,0,29,54,.287,.389,.473,.862,154,79,0,0,0,2,2,3/HD,choiji01
127,Taylor Clarke,29,KCR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,clarkta01
128,Kody Clemens*,26,DET,AL,17,41,36,5,5,1,0,1,5,0,0,4,10,.139,.220,.250,.470,37,9,1,0,0,1,0,/7H45D31,clemeko01
129,Ernie Clement,26,CLE,AL,43,117,106,12,20,3,0,0,5,0,1,7,18,.189,.250,.217,.467,37,23,2,2,1,1,0,54H/7D31,clemeer01
130,Dylan Coleman,25,KCR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,colemdy01
131,Zack Collins*,27,TOR,AL,23,73,66,7,14,4,0,4,10,0,0,6,29,.212,.288,.455,.742,107,30,0,1,0,0,0,D2/H,colliza01
132,Mark Contreras*,27,MIN,AL,6,10,9,3,1,0,0,0,2,0,0,0,3,.111,.100,.111,.211,-39,1,0,0,0,1,0,/87H,contrma01
133,William Contreras,24,ATL,NL,35,132,117,19,30,8,0,9,18,2,0,15,35,.256,.341,.556,.896,142,65,1,0,0,0,0,2D/H7,contrwi02
134,Willson Contreras,30,CHC,NL,65,279,235,40,64,14,1,12,32,3,1,30,57,.272,.387,.494,.881,146,116,8,14,0,0,0,2D/H,contrwi01
135,Garrett Cooper,31,MIA,NL,65,266,235,23,74,17,1,5,35,0,0,21,62,.315,.380,.460,.839,137,108,1,6,0,4,0,3D/H,coopega03
